city_mpg,class,combination_mpg,cylinders,displacement,fuel_type,highway_mpg,transmission,year
19,two seater,21,4,2,gas,25,m,1985
9,two seater,11,12,4.9,gas,14,m,1985
23,subcompact car,27,4,2.2,gas,33,m,1985
10,van,11,8,5.2,gas,12,a,1985
12,van,13,8,5.2,gas,15,a,1985
11,van,13,8,5.2,gas,17,m,1985
11,van,13,8,5.2,gas,17,m,1985
9,van,10,8,5.9,gas,11,a,1985
10,van,10,8,5.2,gas,11,a,1985
10,van,10,8,5.2,gas,11,a,1985
9,van,10,8,5.9,gas,10,a,1985
12,van,13,6,4.9,gas,15,a,1985
13,van,14,6,4.9,gas,17,a,1985
18,subcompact car,21,4,2.2,gas,27,m,1985
15,van,16,6,4.9,gas,17,m,1985
11,van,12,8,5,gas,14,a,1985
10,van,11,8,5.8,gas,12,a,1985
14,van,15,6,4.3,gas,16,a,1985
15,van,16,6,4.3,gas,17,a,1985
14,van,15,6,4.3,gas,17,m,1985
11,van,12,8,5,gas,12,a,1985
12,van,14,8,5,gas,16,a,1985
11,van,13,8,5.7,gas,16,a,1985
17,subcompact car,20,4,2.2,gas,26,m,1985
10,van,11,8,5.7,gas,12,a,1985
18,van,20,4,2.5,gas,24,a,1985
19,van,21,4,2.5,gas,24,m,1985
19,van,22,4,2.5,gas,26,m,1985
15,van,17,6,4.3,gas,20,a,1985
15,van,16,6,4.3,gas,19,m,1985
15,van,17,6,4.3,gas,20,m,1985
19,van,20,4,2,gas,22,a,1985
20,van,21,4,2,gas,23,m,1985
26,subcompact car,27,4,1.5,gas,29,a,1985
15,van,16,4,1.9,gas,17,a,1985
16,van,17,4,1.9,gas,18,m,1985
16,special purpose vehicle,16,4,2.5,gas,17,a,1985
13,special purpose vehicle,13,6,4.2,gas,13,a,1985
12,special purpose vehicle,14,8,5,gas,16,a,1985
11,special purpose vehicle,13,8,5.7,gas,16,a,1985
18,special purpose vehicle,20,4,2.5,gas,24,a,1985
19,special purpose vehicle,21,4,2.5,gas,24,m,1985
19,special purpose vehicle,22,4,2.5,gas,26,m,1985
31,subcompact car,34,4,1.5,gas,37,m,1985
15,special purpose vehicle,18,6,2.8,gas,23,a,1985
16,special purpose vehicle,19,6,2.8,gas,23,m,1985
15,special purpose vehicle,18,6,2.8,gas,22,m,1985
11,special purpose vehicle,11,8,5.2,gas,12,a,1985
11,special purpose vehicle,12,8,5.2,gas,13,a,1985
12,special purpose vehicle,13,8,5.2,gas,15,a,1985
19,two seater,21,4,2,gas,26,m,1986
15,two seater,17,8,4.9,gas,21,m,1986
20,two seater,22,4,1.5,gas,26,m,1986
15,two seater,18,8,5.7,gas,22,a,1986
15,two seater,18,8,5.7,gas,22,m,1986
15,two seater,18,8,5.7,gas,22,a,1986
15,two seater,18,8,5.7,gas,22,m,1986
16,two seater,19,6,3,gas,23,a,1986
15,two seater,18,6,3,gas,23,a,1986
16,two seater,19,6,3,gas,23,m,1986
16,two seater,19,6,3,gas,24,m,1986
9,two seater,11,12,4.9,gas,14,m,1986
11,two seater,13,8,3.2,gas,17,m,1986
21,two seater,23,4,1.9,gas,26,a,1986
23,two seater,26,4,1.9,gas,31,m,1986
19,two seater,22,4,1.9,gas,26,a,1986
22,two seater,25,4,1.9,gas,30,m,1986
